ATP,CO2,H2,NH3,O2,PHB,ac,bm,glyc,hv
0.0,0.827672553877301,0.0997362742747542,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.7278297237539626,-11.13061083140201
5.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-4.055904525959669,-1.0,-1.4570659847092358,0.0,-0.5239351074882123,0.0799168864381043,-1.313993446815312,0.0
0.0,0.179226937318522,-3.836013212925225,-1.0,-2.183343988918192,0.0,-1.927542022962785,0.0799168864381043,0.0,0.0
0.0,2.7414013870019622,0.0,-1.0,-0.8985002264311782,0.2164646545370592,0.0,0.0799168864381043,-3.641558556878624,0.0
0.0,1.0,0.0,0.0,-0.7019230769230769,0.5961538461538461,-1.6923076923076923,0.0,0.0,0.0
0.0,0.827672553877301,0.0,-1.0,-0.9137829990143584,0.0,-2.2517648312421747,0.0799168864381043,0.0,-11.398718665920777
0.0,0.827672553877301,0.0,-1.0,0.0,0.0997362742747542,-0.7234076560377207,0.0799168864381043,-1.7278297237539626,-11.878632888462665
0.0,4.0,7.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-9.5
0.0,0.827672553877301,-2.4307733290711,-1.0,-1.0032872479288206,0.0,0.0,0.0799168864381043,-2.2517648312421747,0.0
0.0,0.179226937318522,-3.607837182663364,-1.0,-1.3674525160499746,0.0,-0.5239351074882123,0.0799168864381043,-1.4036069154745732,0.0
0.0,0.7611817043607981,0.0,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.6945842989957112,-11.346706092330642
0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.179226937318522,-0.4871200618023922,-1.0,0.0,0.0,-0.9097471962492342,0.0799168864381043,-1.0177948267135513,-15.217773515543836
0.0,0.827672553877301,0.0,-1.0,0.0,0.8097711713151655,-2.8535123471589547,0.0799168864381043,-1.0177948267135513,-20.3990516529476
0.0,0.827672553877301,-2.116412264578172,-1.0,-1.1080742694264631,0.0,-0.5239351074882123,0.0799168864381043,-1.7278297237539626,0.0
0.0,44.0,62.0,0.0,-13.0,0.0,-22.0,0.0,0.0,0.0
5.0,2.6666666666666665,0.0,0.0,-1.0,0.6666666666666666,0.0,0.0,-2.6666666666666665,0.0
0.0,-0.5923972402035217,-2.03036841684648,-1.0,-0.5088974133567756,0.0,-1.5417299342017634,0.0799168864381043,0.0,-19.05933828818029
0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-0.75
0.0,-3.675857108607049,-14.475923706012416,-1.0,-3.648215189536216,0.0,0.0,0.0799168864381043,0.0,0.0
0.0,0.179226937318522,-0.4871200618023922,-1.0,-0.5088974133567756,0.0,-1.927542022962785,0.0799168864381043,0.0,-16.74446575561416
0.0,1.0,0.0,0.0,-0.4615384615384615,0.5769230769230769,-1.1538461538461535,0.0,-0.5,0.0
0.0,1.1104717760196063,0.0,-1.0,0.0,0.0,0.0,0.0799168864381043,-2.393164442313328,-9.7500732571459
0.0,1.0,0.0,0.0,-0.75,0.0,0.0,0.0,-0.5,0.0
0.0,0.827672553877301,0.0,-1.0,0.0,0.0,-0.424198833213458,0.0799168864381043,-1.8275659980287169,-10.881270145715122
0.0,4.0,6.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-2.0
0.0,2.308472077927844,0.0,-1.0,-0.8985002264311782,0.0,0.0,0.0799168864381043,-2.992164593267446,0.0
0.0,1.0,1.75,0.0,-0.125,0.0,-0.5,0.0,0.0,-2.75
0.0,0.0,-4.302003249953382,-1.0,-2.2371120701137484,0.0,-1.8379285543035244,0.0799168864381043,0.0,0.0
0.0,0.827672553877301,-0.424198833213458,-1.0,0.0,0.0,0.0,0.0799168864381043,-2.2517648312421747,-10.032872479288208
0.0,0.179226937318522,-3.530674764911159,-1.0,-1.5217773515543835,0.0,-0.9097471962492342,0.0799168864381043,-1.0177948267135513,0.0
0.0,2.2984749623832075,0.0,-1.0,-2.384585407520265,0.0,-2.987166035495128,0.0799168864381043,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
