ATP,CO2,NH3,O2,ac,bm,glyc,glyox,hv,polyglc
0.0,-1.8379285543035244,-0.5,1.7948733317349956,0.0,0.0399584432190521,0.0,0.0,-15.724186845680492,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
