ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen
0.0,0.0,0.0,0.0,10757930.0,0.0,-18730618.0,-15766380.0,0.0,0.0,-10757930.0,-50563282.0,1260000.0,21585802.0,0.0,-442508941.0,0.0
0.0,0.0,0.0,152.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,12.0,-171.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1568915.0,-50052.0,0.0,495181.0,0.0,0.0,4000.0,-1082354.0,0.0,-1574054.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-984002.0,-1163709.0,0.0,0.0,0.0,-1859734.0,93000.0,-1184417.0,0.0,-14787171.0,301779.0
689940.0,0.0,0.0,0.0,107112.0,0.0,-518285.0,-12513.0,0.0,0.0,-107112.0,0.0,1000.0,-91992.0,0.0,-1126902.0,22998.0
0.0,0.0,0.0,0.0,0.0,11500684.0,0.0,-1351404.0,0.0,0.0,0.0,-8117756.0,108000.0,0.0,5633972.0,-80284101.0,0.0
0.0,0.0,0.0,0.0,82671290952.0,0.0,-400023246985.0,-22607625003.0,-11635424136.0,2803180224.0,-82671290952.0,0.0,1806731000.0,-47157559986.0,0.0,0.0,0.0
217.0,0.0,0.0,0.0,20.0,0.0,32.0,0.0,0.0,0.0,-20.0,-56.0,0.0,0.0,56.0,-798.0,0.0
0.0,0.0,0.0,0.0,0.0,137988.0,0.0,-25026.0,89837.0,0.0,0.0,0.0,2000.0,-45996.0,0.0,-856021.0,0.0
0.0,183613.0,0.0,0.0,367226.0,0.0,-741172.0,-375390.0,0.0,0.0,-367226.0,-830446.0,30000.0,-382070.0,522576.0,-7446708.0,0.0
0.0,0.0,0.0,0.0,16639849200.0,0.0,-100197102164.0,-10577113770.0,-17729652657.0,0.0,-16639849200.0,-19439979420.0,845290000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-325338.0,615929.0,689940.0,0.0,-1379880.0,26000.0,-597948.0,0.0,-10231351.0,0.0
0.0,279.0,0.0,640.0,372.0,0.0,0.0,0.0,0.0,0.0,-372.0,-528.0,0.0,208.0,0.0,-4264.0,0.0
0.0,0.0,0.0,-610068.0,0.0,0.0,-2208531.0,-563085.0,0.0,0.0,0.0,0.0,45000.0,-1085370.0,0.0,-5806402.0,118498.0
235639500.0,0.0,0.0,0.0,15761020.0,0.0,0.0,-1201248.0,0.0,0.0,-15761020.0,-17917108.0,96000.0,-31418600.0,47127900.0,-671572575.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,-24.0,0.0,-196.0,4.0
0.0,0.0,0.0,0.0,321336.0,0.0,-1369567.0,-37539.0,-10464.0,24416.0,-321336.0,-72482.0,3000.0,-45344.0,0.0,0.0,0.0
0.0,0.0,0.0,-5846048.0,0.0,0.0,0.0,-4654836.0,0.0,0.0,0.0,-8708616.0,372000.0,-4737668.0,7814052.0,-111350241.0,0.0
0.0,0.0,0.0,-444760.0,0.0,0.0,-4386234.0,-750780.0,-1813007.0,0.0,0.0,-1157500.0,60000.0,0.0,0.0,0.0,0.0
0.0,45.0,0.0,340.0,60.0,0.0,0.0,0.0,0.0,88.0,-60.0,6.0,0.0,-352.0,0.0,-96.0,0.0
0.0,0.0,0.0,155350.0,0.0,0.0,-370586.0,-187695.0,-261288.0,0.0,0.0,-231610.0,15000.0,-191035.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,-4.0,0.0,-32.0,0.0
0.0,21503127364.0,0.0,0.0,43006254728.0,0.0,-153763751482.0,-106033985778.0,0.0,0.0,-43006254728.0,-194882890188.0,8473906000.0,0.0,0.0,-1213472070761.0,0.0
0.0,0.0,0.0,0.0,229980.0,0.0,367968.0,-175182.0,628859.0,0.0,-229980.0,-321972.0,14000.0,0.0,0.0,-5509189.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,-4.0,0.0,0.0,4.0,-61.0,0.0
483313.0,0.0,0.0,3594328.0,1285344.0,0.0,0.0,-150156.0,0.0,0.0,-1285344.0,0.0,12000.0,-2073140.0,0.0,-2964608.0,0.0
463220.0,0.0,0.0,0.0,321336.0,0.0,-1451364.0,-37539.0,0.0,34497.0,-321336.0,0.0,3000.0,-137988.0,0.0,-741152.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-16.0,0.0
0.0,0.0,0.0,-32962.0,0.0,0.0,-456244.0,-187695.0,0.0,0.0,0.0,94156.0,15000.0,-422645.0,0.0,-1506496.0,0.0
483.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,-20.0,-80.0,0.0,80.0,0.0,-1640.0,0.0
0.0,0.0,0.0,0.0,9104520.0,0.0,-41294465.0,-1063605.0,0.0,1011912.0,-9104520.0,68994.0,85000.0,-4047648.0,0.0,-1103904.0,0.0
0.0,0.0,0.0,2445514.0,0.0,0.0,0.0,-1163709.0,-1953513.0,0.0,0.0,-2177154.0,93000.0,-1184417.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,601245.0,-3491127.0,0.0,0.0,0.0,-10641921.0,279000.0,0.0,0.0,-69016157.0,1408493.0
76.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-16.0,16.0,-228.0,0.0
0.0,0.0,0.0,565334.0,76180.0,0.0,0.0,-187695.0,-168644.0,0.0,-76180.0,-106652.0,15000.0,-520985.0,0.0,0.0,0.0
0.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,2.0,0.0,-47.0,0.0
449185.0,22998.0,0.0,0.0,45996.0,0.0,-179674.0,-25026.0,0.0,0.0,-45996.0,-45996.0,2000.0,0.0,0.0,-787027.0,0.0
58909875.0,0.0,0.0,0.0,7880510.0,0.0,-23563950.0,-600624.0,0.0,0.0,-7880510.0,-8958554.0,48000.0,7854650.0,0.0,-161020325.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-20985399024.0,-10577113770.0,-1683509777.0,0.0,0.0,0.0,845290000.0,-19439979420.0,0.0,-61132322225.0,0.0
0.0,0.0,0.0,72.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,52.0,-741.0,0.0
0.0,0.0,0.0,616.0,15.0,864.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,-308.0,0.0,-336.0,0.0
