ATPex_fap,ATPex_srb,CO2ex_gen_fap,CO2ex_gen_srb,CO2ex_gen_syn,H2Sex_gen_srb,H2pool_gen_fap,H2pool_gen_srb,NH3_syn,NH3ex_gen_fap,NH3ex_gen_srb,O2expool_gen_fap,O2expool_gen_syn,PHB_fap,SO4ex_gen_srb,bm,bm_fap_srb_syn,hv_gen_fap,hv_gen_syn,polyglcex_gen_syn,dG
0.0,22672.0,140700.0,0.0,-968076.0,688016.0,0.0,-2739136.0,-75000.0,-75000.0,-75080.0,-43050.0,857526.0,0.0,-688016.0,6000.0,0.0,-243525.0,-8834508.0,0.0,-21.50136023219963
0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,-49.0,1.0,2.770875395782511
0.0,0.0,984900.0,0.0,-6776532.0,4725424.0,602700.0,-18811200.0,-525000.0,-525000.0,-525560.0,0.0,6002682.0,0.0,-4725424.0,42000.0,0.0,-5018475.0,-61841556.0,0.0,-17.34166248854041
0.0,0.0,187600.0,6888022.0,-8178790.0,3448321.0,114800.0,0.0,-100000.0,-100000.0,-100104.0,0.0,8031390.0,0.0,-3448321.0,8000.0,0.0,-955900.0,-66883520.0,0.0,17.641835132162306
0.0,0.0,328300.0,0.0,-2258844.0,1729548.0,0.0,-6888022.0,-175000.0,-175000.0,-175182.0,-100450.0,2000894.0,0.0,-1729548.0,14000.0,0.0,-568225.0,-20613852.0,0.0,-14.732347645704197
0.0,22672.0,62100.0,0.0,-889476.0,688016.0,7500.0,-2739136.0,-75000.0,-75000.0,-75080.0,0.0,818226.0,0.0,-688016.0,6000.0,0.0,-834825.0,-7852008.0,0.0,-22.39174575624986
0.0,0.0,0.0,4581878.0,-4857854.0,2294171.0,0.0,0.0,0.0,0.0,-75078.0,0.0,4857854.0,0.0,-2294171.0,0.0,6000.0,0.0,-38862832.0,0.0,14.453683490069825
0.0,22998.0,46900.0,0.0,-322692.0,260220.0,0.0,-1036570.0,-25000.0,-25000.0,-25026.0,-14350.0,285842.0,0.0,-260220.0,2000.0,0.0,-81175.0,-2944836.0,0.0,-24.847483141295676
0.0,0.0,55500.0,-183984.0,-423100.0,428448.0,0.0,-2073140.0,-50000.0,-50000.0,-50052.0,0.0,358975.0,0.0,-428448.0,4000.0,0.0,-487500.0,-4025225.0,0.0,-24.284729695080802
0.0,0.0,0.0,-11336.0,-23161.0,80334.0,0.0,-342392.0,0.0,0.0,-9385.0,0.0,23161.0,0.0,-80334.0,0.0,750.0,0.0,-185288.0,0.0,-88.99396674477761
0.0,0.0,46900.0,-91992.0,-230700.0,214224.0,0.0,-1036570.0,-25000.0,-25000.0,-25026.0,-14350.0,193850.0,0.0,-214224.0,2000.0,0.0,-81175.0,-2208900.0,0.0,-23.73000548442506
0.0,0.0,0.0,0.0,-1838.0,0.0,0.0,0.0,-500.0,0.0,0.0,0.0,1795.0,0.0,0.0,0.0,40.0,0.0,-15724.0,0.0,-326.6818542490667
0.0,0.0,0.0,0.0,-241479.0,590678.0,0.0,-2351400.0,0.0,0.0,-65695.0,0.0,241479.0,0.0,-590678.0,0.0,5250.0,0.0,-1931832.0,0.0,-74.35508697405639
0.0,0.0,140700.0,0.0,-968076.0,688016.0,0.0,-2739136.0,-75000.0,-75000.0,-75080.0,-43050.0,857526.0,0.0,-688016.0,6000.0,0.0,-243525.0,-8834508.0,0.0,-17.402738403951602
0.0,0.0,62100.0,4581878.0,-5471354.0,2294171.0,7500.0,0.0,-75000.0,-75000.0,-75078.0,0.0,5400104.0,0.0,-2294171.0,6000.0,0.0,-834825.0,-44507032.0,0.0,16.29017347472403
0.0,0.0,82800.0,6888022.0,-8073990.0,3448321.0,10000.0,0.0,-100000.0,-100000.0,-100104.0,0.0,7978990.0,0.0,-3448321.0,8000.0,0.0,-1113100.0,-65573520.0,0.0,17.89051667716642
0.0,22998.0,20700.0,0.0,-296492.0,260220.0,2500.0,-1036570.0,-25000.0,-25000.0,-25026.0,0.0,272742.0,0.0,-260220.0,2000.0,0.0,-278275.0,-2617336.0,0.0,-25.83824269701453
