ATP,CO2,NH3,O2,ac,bm,glyc,glyox,hv,polyglc,dG
0.0,-1.0,0.0,0.5,0.0,0.0,0.0,0.5,-7.125,0.0,17.407675214423538
0.0,-1.0,0.0,1.0,0.5,0.0,0.0,0.0,-8.0,0.0,20.7809435782229
0.0,-1.8379285543035244,-0.5,1.7948733317349956,0.0,0.0399584432190521,0.0,0.0,-15.724186845680492,0.0,-326.3040942981962
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-7.528629798594439e-14
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1405.789165979039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,-24.5,0.5,2.770875395782511
0.0,-1.0,0.0,0.75,0.0,0.0,0.5,0.0,-10.25,0.0,10.551221458239203
