ATP,CO2,H2,H2S,NH3,O2,PHB,SO4,bm,hv,polyglc,dG
0.0,3607606.0,0.0,1446448.0,-150156.0,0.0,0.0,-1446448.0,12000.0,0.0,276927.0,-445.4193923243929
0.0,0.0,0.0,6.0,0.0,15.0,0.0,-6.0,0.0,-120.0,4.0,-27.71896583613357
0.0,10237664.0,0.0,4275746.0,-1088631.0,0.0,0.0,-4275746.0,87000.0,0.0,0.0,-824.5387516681866
1.0,10.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,-294.41390085131917
89.0,192.0,0.0,76.0,0.0,0.0,16.0,-76.0,0.0,0.0,0.0,-612.7883534341236
0.0,10.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,-161.93156237201606
0.0,2959498.0,0.0,1192288.0,-150156.0,0.0,0.0,-1192288.0,12000.0,0.0,198561.0,-500.8734018842324
0.0,3404278.0,101664.0,1344784.0,-150156.0,0.0,0.0,-1344784.0,12000.0,0.0,243039.0,-456.2633367066119
0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,0.0,4.6929773400601835
29.0,64.0,0.0,28.0,0.0,0.0,0.0,-28.0,0.0,0.0,0.0,-570.8619419062927
35.0,0.0,0.0,4.0,0.0,12.0,4.0,-4.0,0.0,-96.0,0.0,-627.4546068188314
0.0,16.0,0.0,7.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-29.355480977111256
197633.0,0.0,0.0,0.0,-75078.0,40076.0,12044.0,0.0,6000.0,-933584.0,0.0,-1302.6362707205058
17.0,48.0,12.0,16.0,0.0,0.0,4.0,-16.0,0.0,0.0,0.0,-496.30795978805276
0.0,2191248.0,0.0,961786.0,-337851.0,132374.0,0.0,-961786.0,27000.0,-1058992.0,0.0,-882.0798649294633
44.0,-22.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-160.0,1.0,-474.21883535068326
0.0,-6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-48.0,1.0,2.81629958259861
0.0,37376.0,0.0,0.0,-87591.0,0.0,0.0,0.0,7000.0,-677480.0,0.0,-1582.8414719339592
0.0,7055492.0,1161189.0,2555825.0,-638163.0,0.0,243039.0,-2555825.0,51000.0,0.0,0.0,-710.0039980081729
16.0,-8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-56.0,0.0,-480.258084038278
