ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen,dG
0.0,0.0,0.0,0.0,2039601370854355.2,0.0,-2.80307715409942e+16,-1.7488199746888828e+16,0.0,0.0,-2039601370854355.2,-9257862290893116.0,1397602473179000.0,-2.2884199387277524e+16,0.0,-1.2856952616818888e+17,0.0,-1116.0355760128537
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,-1.0,0.0,-120.0,0.0,20.787144551092645
0.0,0.0,0.0,14.0,5.0,0.0,8.0,0.0,0.0,0.0,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0,28.155765319308216
0.0,0.0,0.0,1543642.0,0.0,0.0,0.0,-563085.0,-505932.0,121888.0,0.0,0.0,45000.0,-2050507.0,0.0,0.0,0.0,-1598.0086604672201
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50052.0,0.0,0.0,0.0,0.0,4000.0,-175364.0,83372.0,-1188051.0,0.0,-446.21168648518716
0.0,0.0,0.0,0.0,4070256.0,0.0,-16935070.0,-475494.0,0.0,0.0,-4070256.0,0.0,38000.0,-1011912.0,137988.0,-1966329.0,0.0,-126.1750180667769
0.0,0.0,0.0,0.0,10757930.0,0.0,-18730618.0,-15766380.0,0.0,0.0,-10757930.0,-50563282.0,1260000.0,21585802.0,0.0,-442508941.0,0.0,-372.57895320913576
0.0,0.0,0.0,152.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,12.0,-171.0,0.0,-19.91806372139987
0.0,0.0,0.0,0.0,0.0,0.0,-1568915.0,-50052.0,0.0,495181.0,0.0,0.0,4000.0,-1082354.0,0.0,-1574054.0,0.0,-90.36136517883114
0.0,0.0,0.0,0.0,40.0,0.0,-209.0,0.0,0.0,105.0,-40.0,-266.0,0.0,56.0,0.0,-1148.0,0.0,21.631153217348945
