M_ATPex,M_CO2ex,M_H2ex,M_NH3ex,M_bm,M_hv,M_O2ex,M_PHB,M_SO4ex,M_H2Sex,M_polyglcex,objective
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
4.721600000000000000e+04,2.408800000000000000e+04,1.412200000000000000e+04,-3.753900000000000000e+04,3.000000000000000000e+03,-3.064880000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+03
5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.070000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.320000000000000000e+02,1.300000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
9.579500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-5.005200000000000000e+04,4.000000000000000000e+03,-8.383360000000000000e+05,1.047920000000000000e+05,0.000000000000000000e+00,-4.305200000000000000e+04,4.305200000000000000e+04,0.000000000000000000e+00,4.000000000000000000e+03
1.190000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.600000000000000000e+02,4.500000000000000000e+01,1.000000000000000000e+01,-1.600000000000000000e+01,1.600000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.940008000000000000e+06,0.000000000000000000e+00,-4.880070000000000000e+05,3.900000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.769270000000000000e+05,-1.931686000000000000e+06,1.931686000000000000e+06,0.000000000000000000e+00,3.900000000000000000e+04
1.662070000000000000e+05,7.475200000000000000e+04,0.000000000000000000e+00,-1.751820000000000000e+05,1.400000000000000000e+04,-1.354960000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
