M_M_CO2ex_gen_fap,M_M_NH3ex_gen_fap,M_M_hv_gen_fap,M_M_O2expool_gen_fap,M_M_H2pool_gen_fap,M_M_ATPex_fap,M_M_PHB_fap,M_M_SO4ex_gen_srb,M_M_H2Sex_gen_srb,M_M_NH3ex_gen_srb,M_M_H2pool_gen_srb,M_M_CO2ex_gen_srb,M_M_ATPex_srb,M_M_CO2ex_gen_syn,M_M_NH3_syn,M_M_hv_gen_syn,M_M_O2expool_gen_syn,M_M_polyglcex_gen_syn,M_bm_fap_srb_syn,M_bm,objective
1.665000000000000000e+05,-1.500000000000000000e+05,-1.462500000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.315572000000000000e+06,1.315572000000000000e+06,-1.501560000000000000e+05,-5.236432000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-1.821252000000000000e+06,-1.500000000000000000e+05,-1.649129100000000000e+07,1.628877000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+04,1.200000000000000000e+04
1.665000000000000000e+05,-1.500000000000000000e+05,-1.462500000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.285344000000000000e+06,1.285344000000000000e+06,-1.501600000000000000e+05,-5.478272000000000000e+06,-1.813760000000000000e+05,0.000000000000000000e+00,-1.639876000000000000e+06,-1.500000000000000000e+05,-1.504028300000000000e+07,1.447501000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+04,1.200000000000000000e+04
1.407000000000000000e+05,-7.500000000000000000e+04,-7.169250000000000000e+05,0.000000000000000000e+00,8.610000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-2.354632000000000000e+06,2.354632000000000000e+06,-7.508000000000000000e+04,0.000000000000000000e+00,4.702800000000000000e+06,0.000000000000000000e+00,-5.670876000000000000e+06,-7.500000000000000000e+04,-4.645690800000000000e+07,5.560326000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
2.070000000000000000e+04,-2.500000000000000000e+04,-2.782750000000000000e+05,0.000000000000000000e+00,2.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.602200000000000000e+05,2.602200000000000000e+05,-2.502600000000000000e+04,-1.036570000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-2.964920000000000000e+05,-2.500000000000000000e+04,-2.617336000000000000e+06,2.727420000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03,2.000000000000000000e+03
1.876000000000000000e+03,-1.000000000000000000e+03,-9.559000000000000000e+03,0.000000000000000000e+00,1.148000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.552000000000000000e+03,0.000000000000000000e+00,-5.690800000000000000e+04,4.164000000000000000e+03,0.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.407000000000000000e+05,-7.500000000000000000e+04,-7.169250000000000000e+05,0.000000000000000000e+00,8.610000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-6.880160000000000000e+05,6.880160000000000000e+05,-7.508000000000000000e+04,-2.739136000000000000e+06,0.000000000000000000e+00,2.267200000000000000e+04,-9.680760000000000000e+05,-7.500000000000000000e+04,-8.834508000000000000e+06,8.575260000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.301100000000000000e+05,1.301100000000000000e+05,-1.251300000000000000e+04,-5.182850000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-4.599600000000000000e+04,0.000000000000000000e+00,-3.679680000000000000e+05,4.599600000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.407000000000000000e+05,-7.500000000000000000e+04,-7.169250000000000000e+05,0.000000000000000000e+00,8.610000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-6.880160000000000000e+05,6.880160000000000000e+05,-7.508000000000000000e+04,-2.739136000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-9.680760000000000000e+05,-7.500000000000000000e+04,-8.834508000000000000e+06,8.575260000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
1.165500000000000000e+06,-1.050000000000000000e+06,-1.023750000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.450848000000000000e+06,9.450848000000000000e+06,-1.051120000000000000e+06,-3.762240000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,-1.274876400000000000e+07,-1.050000000000000000e+06,-1.154390370000000000e+08,1.140213900000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+04,8.400000000000000000e+04
1.876000000000000000e+05,-1.000000000000000000e+05,-3.247000000000000000e+05,-5.740000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.448321000000000000e+06,3.448321000000000000e+06,-1.001040000000000000e+05,0.000000000000000000e+00,6.888022000000000000e+06,0.000000000000000000e+00,-8.178790000000000000e+06,-1.000000000000000000e+05,-6.688352000000000000e+07,8.031390000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+03
