,M_ATPex_fap,M_CO2ex_gen_fap,M_H2pool_gen_fap,M_NH3ex_gen_fap,M_bm_fap,M_hv_gen_fap,M_glycpool_gen_fap,M_O2expool_gen_fap,M_PHB_fap,M_ac_pool_fap
67,0.0,0.0,-1.1417725565411971,-1.0,0.07991688643810436,-14.570659847092358,-1.313993446815312,0.0,0.0,-0.5239351074882123
68,0.0,1.0,0.0,0.0,0.0,-15.875,0.0,-0.125,1.75,-4.0
69,0.0,0.827672553877301,-2.279743733184155,-1.0,0.07991688643810436,0.0,0.0,-2.053654865606436,0.0,-2.2517648312421747
70,0.0,2.6666666666666665,2.0,0.0,0.0,-1.0,-2.6666666666666665,0.0,0.6666666666666666,0.0
71,3.875,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5
72,0.0,0.827672553877301,-1.9744052851700897,-1.0,0.07991688643810436,0.0,-1.0177948267135513,-1.3920882282426277,0.0,-1.2339700045286235
73,0.0,0.827672553877301,0.0,-1.0,0.07991688643810436,-10.58206132289086,-1.7278297237539626,-0.04986813713737713,0.0,-0.5239351074882123
74,0.0,0.827672553877301,0.8097711713151655,-1.0,0.07991688643810436,-15.852460108154187,0.0,-0.5088974133567756,0.0,-2.2517648312421747
75,0.0,0.827672553877301,0.0,-1.0,0.07991688643810436,-21.925743893017927,0.0,-0.5088974133567756,0.8097711713151655,-3.871307173872506
76,0.0,0.0,-0.8455739364394363,-1.0,0.07991688643810436,-17.28214656756973,0.0,-0.5088974133567756,0.0,-1.8379285543035244
77,0.0,1.8755427688537254,1.1476064892511788,-1.0,0.07991688643810436,-9.558805508937372,-2.775699938730387,0.0,0.0,0.0
78,0.0,0.17922693731852207,-1.3968672580516264,-1.0,0.07991688643810436,-12.626654945523322,-1.9275420229627853,0.0,0.0,0.0
79,0.0,12.666666666666666,0.0,0.0,0.0,0.0,-17.666666666666668,-1.0,5.666666666666667,0.0
80,3.75,1.0,0.0,0.0,0.0,0.0,-0.5,-0.75,0.0,0.0
81,0.0,1.0,0.0,0.0,0.0,-11.75,0.0,-0.25,1.5,-3.5
82,0.0,-0.5923972402035217,-5.536897626468472,-1.0,0.07991688643810436,0.0,-1.0177948267135513,-1.7532646048109966,0.0,-0.5239351074882123
83,0.0,2.101482415277359,0.0,-1.0,0.07991688643810436,0.0,-1.0177948267135513,-1.6786954470576407,0.0,-1.8708749352286524
