,M_ATPex_fap,M_CO2ex_gen_fap,M_H2pool_gen_fap,M_NH3ex_gen_fap,M_bm_fap,M_hv_gen_fap,M_glycpool_gen_fap,M_O2expool_gen_fap,M_PHB_fap,M_ac_pool_fap
0,0.0,1.0,0.0,0.0,0.0,-12.0,-0.5,0.0,1.5,-3.0
1,0.0,0.827672553877301,0.09973627427475426,-1.0,0.07991688643810436,-11.13061083140201,-1.7278297237539626,0.0,0.0,-0.5239351074882123
2,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
3,0.0,0.0,-4.055904525959669,-1.0,0.07991688643810436,0.0,-1.313993446815312,-1.4570659847092358,0.0,-0.5239351074882123
4,0.0,0.17922693731852207,-3.8360132129252245,-1.0,0.07991688643810436,0.0,0.0,-2.1833439889181916,0.0,-1.9275420229627853
5,0.0,2.7414013870019622,0.0,-1.0,0.07991688643810436,0.0,-3.641558556878624,-0.8985002264311782,0.21646465453705924,0.0
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7019230769230769,0.5961538461538461,-1.6923076923076923
7,0.0,0.827672553877301,0.0,-1.0,0.07991688643810436,-11.398718665920775,0.0,-0.9137829990143584,0.0,-2.2517648312421747
8,0.0,0.0,-3.25,0.0,0.0,0.0,0.0,-1.0,1.25,-2.5
9,0.0,0.827672553877301,0.0,-1.0,0.07991688643810436,-11.878632888462665,-1.7278297237539626,0.0,0.09973627427475426,-0.7234076560377207
10,0.0,1.8571428571428572,0.0,0.0,0.0,0.0,-1.8571428571428572,-0.42857142857142855,1.0,-1.0714285714285714
11,0.0,4.0,7.0,0.0,0.0,-9.5,-1.0,0.0,0.0,-1.0
12,0.0,0.827672553877301,-2.4307733290710996,-1.0,0.07991688643810436,0.0,-2.2517648312421747,-1.0032872479288206,0.0,0.0
13,0.0,0.17922693731852207,-3.6078371826633635,-1.0,0.07991688643810436,0.0,-1.4036069154745732,-1.3674525160499746,0.0,-0.5239351074882123
14,0.0,0.7611817043607981,0.0,-1.0,0.07991688643810436,-11.346706092330642,-1.6945842989957112,0.0,0.0,-0.5239351074882123
15,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
16,0.0,0.17922693731852207,-0.4871200618023922,-1.0,0.07991688643810436,-15.217773515543835,-1.0177948267135513,0.0,0.0,-0.9097471962492342
17,0.0,0.827672553877301,0.0,-1.0,0.07991688643810436,-20.399051652947602,-1.0177948267135513,0.0,0.8097711713151655,-2.8535123471589547
18,0.0,0.827672553877301,-2.116412264578172,-1.0,0.07991688643810436,0.0,-1.7278297237539626,-1.1080742694264631,0.0,-0.5239351074882123
19,0.0,44.0,62.0,0.0,0.0,0.0,0.0,-13.0,0.0,-22.0
20,0.0,-1.0,-2.25,0.0,0.0,-6.0,0.0,0.0,0.25,0.0
21,5.0,2.6666666666666665,0.0,0.0,0.0,0.0,-2.6666666666666665,-1.0,0.6666666666666666,0.0
22,0.0,-0.5923972402035217,-2.0303684168464797,-1.0,0.07991688643810436,-19.059338288180292,0.0,-0.5088974133567756,0.0,-1.5417299342017634
23,0.0,1.0,1.5,0.0,0.0,-0.75,-0.5,0.0,0.0,0.0
24,0.0,-1.6666666666666667,-5.75,0.0,0.0,0.0,0.0,-1.0,0.4166666666666667,0.0
25,0.0,-3.675857108607049,-14.475923706012415,-1.0,0.07991688643810436,0.0,0.0,-3.6482151895362156,0.0,0.0
26,0.0,1.0,0.0,0.0,0.0,-1.0,-1.5,0.0,0.5,0.0
27,0.0,0.17922693731852207,-0.4871200618023922,-1.0,0.07991688643810436,-16.74446575561416,0.0,-0.5088974133567756,0.0,-1.9275420229627853
28,0.0,0.0,-9.5,0.0,0.0,0.0,-5.0,-1.0,2.5,0.0
29,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-0.46153846153846156,0.5769230769230769,-1.1538461538461537
30,0.0,1.1104717760196063,0.0,-1.0,0.07991688643810436,-9.750073257145901,-2.3931644423133274,0.0,0.0,0.0
31,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-0.75,0.0,0.0
32,0.0,0.827672553877301,0.0,-1.0,0.07991688643810436,-10.881270145715122,-1.8275659980287169,0.0,0.0,-0.424198833213458
33,0.0,1.0,0.0,0.0,0.0,-15.5,-0.25,0.0,1.75,-3.75
34,0.0,4.0,6.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-2.0
35,0.0,2.308472077927844,0.0,-1.0,0.07991688643810436,0.0,-2.992164593267446,-0.8985002264311782,0.0,0.0
36,0.0,1.0,1.75,0.0,0.0,-2.75,0.0,-0.125,0.0,-0.5
37,0.0,0.0,-4.302003249953382,-1.0,0.07991688643810436,0.0,0.0,-2.2371120701137484,0.0,-1.8379285543035244
38,0.0,29.333333333333332,20.0,0.0,0.0,0.0,-29.333333333333332,-1.0,7.333333333333333,0.0
39,0.0,0.827672553877301,-0.424198833213458,-1.0,0.07991688643810436,-10.032872479288207,-2.2517648312421747,0.0,0.0,0.0
40,0.0,0.17922693731852207,-3.530674764911159,-1.0,0.07991688643810436,0.0,-1.0177948267135513,-1.5217773515543835,0.0,-0.9097471962492342
41,0.0,2.2984749623832075,0.0,-1.0,0.07991688643810436,0.0,0.0,-2.384585407520265,0.0,-2.987166035495128
42,0.0,0.0,-0.75,0.0,0.0,-1.0,-0.5,0.0,0.25,0.0
43,0.0,0.0,-0.125,0.0,0.0,-1.0,0.0,0.0,0.125,-0.25
44,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
